5033=Dubai Mercantile Exchange|5034=271|5035=201|5026=1|
5033=GTIS Service: Select FX (Asian Pacific) Streaming|5034=272|5035=201|5026=1|
5033=GTIS Service: Select FX (Asia Pacific) Snapshot|5034=273|5035=201|5026=1|
5033=PBOT Indices|5034=274|5035=201|5026=1|
5033=Hang Seng Indices|5034=275|5035=201|5026=1|
5033=ICAP: US TReasuries|5034=276|5035=201|5026=1|
5033=New Zealand Exchange : Market Data Level 2|5034=277|5035=201|5026=1|
5033=Borsa Italiana: STS Module (electronic and gov bonds market) Level 2|5034=278|5035=201|5026=1|
5033=Osaka Level Based Depth|5034=279|5035=201|5026=1|
5033=Hercules|5034=280|5035=201|5026=1|
5033=Hercules Level Based Depth|5034=281|5035=201|5026=1|
5033=Conticap|5034=282|5035=201|5026=1|
5033=Deutsche Boerse MiFID OTC Trades|5034=289|5035=201|5026=1|
5033=JASDAQ : Market Data Level 2|5034=291|5035=201|5026=1|
5033=Euronext OTC Market|5034=292|5035=201|5026=1|
5033=Vienna OTC|5034=294|5035=201|5026=1|
5033=BOAT Market Data Level 1|5034=295|5035=201|5026=1|
5033=Inactive Exchange|5034=296|5035=201|5026=1|
5033=Inactive Exchange|5034=297|5035=201|5026=1|
5033=Inactive Exchange|5034=298|5035=201|5026=1|
5033=Dubai Gold and Commodities Exchange|5034=299|5035=201|5026=1|
5033=Inactive Exchange|5034=300|5035=201|5026=1|
5033=Inactive Exchange|5034=301|5035=201|5026=1|
5033=ICAP: Interest Rate Swaps (Asia Pacific)|5034=302|5035=201|5026=1|
5033=ICAP: Interest Rate Swaps * IR Options (USA)|5034=303|5035=201|5026=1|
5033=ICAP: Fixed Income (Asia Pacific)|5034=304|5035=201|5026=1|
5033=OPRA - Nasdaq Regional|5034=305|5035=201|5026=1|
5033=Chicago Board of Trade: E-Mini Contracts Level 1|5034=313|5035=201|5026=1|
5033=OMX Nordic Exchange Baltic Equities & Fixed Income Level 2|5034=314|5035=201|5026=1|
5033=NASDAQ: Last Sale Feed - NASDAQ Issues|5034=321|5035=201|5026=1|
5033=NASDAQ: Last Sale Feed - NYSE/AMEX Issues|5034=322|5035=201|5026=1|
5033=Eurex US Level 1|5034=323|5035=201|5026=1|
5033=Eurex US Level 2|5034=324|5035=201|5026=1|
5033=ARCA ECN Level 1|5034=325|5035=201|5026=1|
5033=ARCA ECN Level 2|5034=326|5035=201|5026=1|
5033=NYSE Open Book Level 1|5034=327|5035=201|5026=1|
5033=NYSE Open Book Level 2|5034=328|5035=201|5026=1|
5033=OneChicago|5034=329|5035=201|5026=1|
5033=Nasdaq Single Book Exchange (Level 2)|5034=330|5035=201|5026=1|
5033=ICAP: FX Spot and Forwards|5034=331|5035=201|5026=1|
5033=ICAP Interest Rate Options|5034=332|5035=201|5026=1|
5033=NASD ADF (Alternative Display Facility)|5034=333|5035=201|5026=1|
5033=National Stock Exchange of India - Wholesale Debt Market|5034=334|5035=201|5026=1|
5033=BOAT Market Data Level 2|5034=335|5035=201|5026=1|
5033=Malaysia Derivatives Exchange (NON-KLI)|5034=336|5035=201|5026=1|
5033=Nasdaq Money Markets|5034=337|5035=201|5026=1|
5033=Nasdaq Mutual Funds|5034=338|5035=201|5026=1|
5033=Nasdaq Unit Investment Trusts (UIT)|5034=339|5035=201|5026=1|
5033=AMEX Indices|5034=340|5035=201|5026=1|
5033=CBOE Indices|5034=341|5035=201|5026=1|
5033=CME Indices|5034=342|5035=201|5026=1|
5033=Dow Jones Indices|5034=343|5035=201|5026=1|
5033=NYSE Indices|5034=344|5035=201|5026=1|
5033=Nasdaq Indices|5034=345|5035=201|5026=1|
5033=S&P Indices (CME Sourced)|5034=346|5035=201|5026=1|
5033=Nagoya Stock Exchange|5034=353|5035=201|5026=1|
5033=Nikkei Indices|5034=354|5035=201|5026=1|
5033=Osaka Stock Exchange|5034=355|5035=201|5026=1|
5033=Core Euronext Indices (CAC40, AEX, AMX, BELevel 20, Euronext100 and Next 150)|5034=356|5035=201|5026=1|
5033=German Stock Exchange - Neuer Market Equities|5034=357|5035=201|5026=1|
5033=S&P Forex - HSBC, CMC, SE(SIX) and Citibank|5034=358|5035=201|5026=1|
5033=Inactive Exchange starting Oct 3, 2007; was SURF Swap Markers|5034=359|5035=201|5026=1|
5033=OPRA Foreign Currency Options (FCO)|5034=360|5035=201|5026=1|
5033=NASDAQ Other OTC issues|5034=361|5035=201|5026=1|
5033=NYBOT Special Indices|5034=362|5035=201|5026=1|
5033=NASDAQ OTC Bulletin Board|5034=363|5035=201|5026=1|
5033=CME eMini|5034=364|5035=201|5026=1|
5033=Montreal Stock Exchange|5034=365|5035=201|5026=1|
5033=Montreal Options|5034=366|5035=201|5026=1|
5033=CBOT - ECBOT Depth|5034=367|5035=201|5026=1|
5033=Spanish Regional Exchanges|5034=368|5035=201|5026=1|
5033=MEFF RF - Financial Derivatives|5034=369|5035=201|5026=1|
5033=MEFF RV - Equity Derivatives|5034=370|5035=201|5026=1|
5033=Toronto Stock Exchange Level 2|5034=371|5035=201|5026=1|
5033=Toronto Stock Exchange Level 1|5034=372|5035=201|5026=1|
5033=Tokyo Stock Exchange|5034=373|5035=201|5026=1|
5033=TSX Venture Exchange|5034=374|5035=201|5026=1|
5033=TSX Venture Exchange Level 2|5034=375|5035=201|5026=1|
5033=Korean Stock Exchange Level 2|5034=376|5035=201|5026=1|
5033=KOSDAQ Level 2|5034=377|5035=201|5026=1|
5033=Street Software|5034=378|5035=201|5026=1|
5033=AMEX - Composite Only|5034=545|5035=201|5026=1|
5033=Nasdaq - Boston Stock Exchange Regional Only|5034=546|5035=201|5026=1|
5033=Nasdaq - Cincinnati Stock Exchange Regional Only|5034=547|5035=201|5026=1|
5033=Nasdaq - American Stock Exchange Regional Only|5034=548|5035=201|5026=1|
5033=Nasdaq - Chicago Stock Exchange Regional Only|5034=549|5035=201|5026=1|
5033=Nasdaq - New York Stock Exchange Regional Only|5034=550|5035=201|5026=1|
5033=Nasdaq - Pacific Stock Exchange Regional Only (ArcaEx)|5034=551|5035=201|5026=1|
5033=Nasdaq - Nasdaq Regional Only|5034=552|5035=201|5026=1|
5033=Nasdaq - Philadelphia Stock Exchange Regional Only|5034=553|5035=201|5026=1|
5033=Nasdaq - ADF Regional Only|5034=554|5035=201|5026=1|
5033=NASDAQ: Market Velocity and Forces|5034=555|5035=201|5026=1|
5033=Nasdaq - Chicago Board Options Exchange|5034=556|5035=201|5026=1|
5033=Nasdaq - International Securities Exchange|5034=557|5035=201|5026=1|
5033=NYSE - Composite Only|5034=558|5035=201|5026=1|
5033=OPRA - Composite Only|5034=559|5035=201|5026=1|
5033=Amex -- Nasd Split|5034=560|5035=201|5026=1|
5033=Amex -- International Securities Exchange|5034=561|5035=201|5026=1|
5033=NYSE -- Nasd Split|5034=562|5035=201|5026=1|
5033=NYSE-- International Securities Exchange|5034=563|5035=201|5026=1|
5033=Nasdaq - Composite Only|5034=564|5035=201|5026=1|
5033=Candeal.ca Inc|5034=565|5035=201|5026=1|
5033=Jakarta  Stock Exchange|5034=566|5035=201|5026=1|
5033=Philippine Stock Exchange (PSE)|5034=567|5035=201|5026=1|
5033=AMEX Bond Guide - S&P Fundamentals|5034=568|5035=201|5026=1|
5033=NYSE Corporate Bond Guide - S&P Fundamentals|5034=569|5035=201|5026=1|
5033=Inactive Exchange starting Oct 29, 2007; was NYMEX OTC|5034=570|5035=201|5026=1|
5033=Singapore Exchange (SGX) Equities Market Level 2|5034=641|5035=201|5026=1|
